id;label;type
0;Topic 1;topic
1;Topic 2;topic
2;Topic 3;topic
3;Topic 4;topic
4;Topic 5;topic
5;Topic 6;topic
6;Topic 7;topic
7;Topic 8;topic
8;Topic 9;topic
9;Topic 10;topic
10;Topic 11;topic
11;Topic 12;topic
12;Topic 13;topic
13;Topic 14;topic
14;Topic 15;topic
15;Topic 16;topic
16;Topic 17;topic
17;Topic 18;topic
18;Topic 19;topic
19;Topic 20;topic
20;Topic 21;topic
21;Topic 22;topic
22;Topic 23;topic
23;Topic 24;topic
24;Topic 25;topic
25;Topic 26;topic
26;Topic 27;topic
27;Topic 28;topic
28;Topic 29;topic
29;Topic 30;topic
30;Topic 31;topic
31;Topic 32;topic
32;Topic 33;topic
33;Topic 34;topic
34;Topic 35;topic
35;Topic 36;topic
36;Topic 37;topic
37;Topic 38;topic
38;Topic 39;topic
39;Topic 40;topic
40;Topic 41;topic
41;Topic 42;topic
42;Topic 43;topic
43;Topic 44;topic
44;Topic 45;topic
45;Topic 46;topic
46;Topic 47;topic
47;Topic 48;topic
48;Topic 49;topic
49;Topic 50;topic
2;2;lemma
sein;sein;lemma
4;4;lemma
9;9;lemma
auch;auch;lemma
6;6;lemma
u;u;lemma
où;où;lemma
lettr;lettr;lemma
deux;deux;lemma
documentaliste;documentaliste;lemma
documental;documental;lemma
cas;cas;lemma
bringt;bringt;lemma
ausgetauscht;ausgetauscht;lemma
innerhalb;innerhalb;lemma
einzigartigen;einzigartigen;lemma
recht;recht;lemma
der;der;lemma
gemeinschaft;gemeinschaft;lemma
and;and;lemma
der;der;lemma
net;net;lemma
commun;commun;lemma
10;10;lemma
las;las;lemma
communication;communication;lemma
por;por;lemma
commune;commune;lemma
gemeinsamen;gemeinsamen;lemma
aufzunehmen;aufzunehmen;lemma
können;können;lemma
entstanden;entstanden;lemma
auf;auf;lemma
oder;oder;lemma
uergangenheit;uergangenheit;lemma
anreicherung;anreicherung;lemma
entsprechen;entsprechen;lemma
transdisziplinären;transdisziplinären;lemma
rufen;rufen;lemma
une;une;lemma
outil;outil;lemma
outils;outils;lemma
der;der;lemma
literatur;literatur;lemma
are;are;lemma
aus;aus;lemma
uerschiedenen;uerschiedenen;lemma
freien;freien;lemma
uersammelt;uersammelt;lemma
haben;haben;lemma
são;são;lemma
actuelle;actuelle;lemma
notion;notion;lemma
ginouues;ginouues;lemma
lui;lui;lemma
ouest;ouest;lemma
nt2;nt2;lemma
démontr;démontr;lemma
2009;2009;lemma
sont;sont;lemma
numériques;numériques;lemma
numer;numer;lemma
uniu;uniu;lemma
alle;alle;lemma
uniuersità;uniuersità;lemma
paradigmen;paradigmen;lemma
gemeinsamen;gemeinsamen;lemma
genutzt;genutzt;lemma
sich;sich;lemma
mobilisieren;mobilisieren;lemma
dass;dass;lemma
auch;auch;lemma
wir;wir;lemma
iahrhundert;iahrhundert;lemma
hn;hn;lemma
fonction;fonction;lemma
diese;diese;lemma
dies;dies;lemma
luc;luc;lemma
art;art;lemma
sall;sall;lemma
mais;mais;lemma
elle;elle;lemma
nos;nos;lemma
salle;salle;lemma
sauoir;sauoir;lemma
arts;arts;lemma
aller;aller;lemma
salles;salles;lemma
ser;ser;lemma
elles;elles;lemma
description;description;lemma
descript;descript;lemma
lyon2;lyon2;lemma
imag;imag;lemma
images;images;lemma
karim;karim;lemma
francesco;francesco;lemma
alexei;alexei;lemma
di;di;lemma
die;die;lemma
lyon;lyon;lemma
numérique;numérique;lemma
numer;numer;lemma
den;den;lemma
105;105;lemma
notre;notre;lemma
tous;tous;lemma
processus;processus;lemma
preuu;preuu;lemma
zu;zu;lemma
ancien;ancien;lemma
cach;cach;lemma
dias;dias;lemma
fort;fort;lemma
longue;longue;lemma
longu;longu;lemma
surtout;surtout;lemma
forte;forte;lemma
ce;ce;lemma
