source;target;weight
q-mors;0;0.000145482345501
q-letum;0;0.000318841018942
q-morior;0;0.000122511845982
q-mors;1;0.000102622427459
q-letum;1;0.000136919647622
q-morior;1;9.51950142498e-05
q-mors;2;9.92203661103e-05
q-letum;2;0.000100933406556
q-morior;2;0.000122316271725
q-mors;3;0.000106700659087
q-letum;3;0.000184329001273
q-morior;3;0.000102728346483
q-mors;4;9.1272968089e-05
q-letum;4;8.66091125315e-05
q-morior;4;9.27102713584e-05
q-mors;5;0.000120766811188
q-letum;5;0.000302189741258
q-morior;5;0.000101284748936
q-mors;6;9.77706372368e-05
q-letum;6;0.000102384548143
q-morior;6;9.55083333027e-05
q-mors;7;0.000156171329452
q-letum;7;0.000203472079656
q-morior;7;0.000133371564559
q-mors;8;0.000108764943003
q-letum;8;7.53925395146e-05
q-morior;8;0.000142209646097
q-mors;9;9.10594636977e-05
q-letum;9;0.000147156617526
q-morior;9;0.00011801216698
q-mors;10;0.000119217744297
q-letum;10;0.000124384532124
q-morior;10;0.000154430212196
q-mors;11;0.00011452372821
q-letum;11;0.000163163951722
q-morior;11;7.66591064043e-05
q-mors;12;8.74824357071e-05
q-letum;12;9.24964144329e-05
q-morior;12;9.9306236359e-05
q-mors;13;8.68653491562e-05
q-letum;13;7.07614965896e-05
q-morior;13;9.43087909893e-05
q-mors;14;7.89995859287e-05
q-letum;14;6.73106429803e-05
q-morior;14;0.000151310506137
q-mors;15;8.22694649482e-05
q-letum;15;7.60518538495e-05
q-morior;15;8.11942370174e-05
q-mors;16;0.000161436457565
q-letum;16;0.000219935522811
q-morior;16;0.000124916133848
q-mors;17;0.000100200016787
q-letum;17;0.00012690544263
q-morior;17;8.77069283547e-05
q-mors;18;0.00015900204211
q-letum;18;0.000112061534239
q-morior;18;0.000166643978975
q-mors;19;0.000125071591631
q-letum;19;0.0001489022867
q-morior;19;0.000109844850092
q-mors;20;9.86260966976e-05
q-letum;20;0.000133809617553
q-morior;20;0.000138788715734
q-mors;21;9.05952199191e-05
q-letum;21;0.00012974653567
q-morior;21;8.62178227136e-05
q-mors;22;0.000134025325853
q-letum;22;0.000181227637344
q-morior;22;0.00011733686558
q-mors;23;0.000138166336207
q-letum;23;0.00010654387832
q-morior;23;0.000131856979136
q-mors;24;0.000187497987701
q-letum;24;0.000214843409442
q-morior;24;0.000143770868403
q-mors;25;0.000131299260216
q-letum;25;0.00010935052266
q-morior;25;9.53541393918e-05
q-mors;26;0.000131514955657
q-letum;26;8.25693215302e-05
q-morior;26;0.000135216171832
q-mors;27;0.000132675377694
q-letum;27;0.000116899962079
q-morior;27;0.000167381260077
q-mors;28;0.000101725818769
q-letum;28;0.000280103728965
q-morior;28;0.000115010662938
q-mors;29;0.00012691124666
q-letum;29;0.000162033459381
q-morior;29;0.00014129351185
q-mors;30;0.000107603753979
q-letum;30;9.64968492902e-05
q-morior;30;0.000128197874107
