source;target;weight
q-mors;0;-0.0223755912203
q-letum;0;-0.0355355164396
q-morior;0;-0.0233150303202
q-mors;1;-0.00342291482287
q-letum;1;-0.0381209197667
q-morior;1;0.00546837937942
q-mors;2;0.00465896892182
q-letum;2;-0.000385106274594
q-morior;2;-0.00227225033937
q-mors;3;-0.00616154426622
q-letum;3;0.00927311021099
q-morior;3;-0.00929042127231
q-mors;4;-3.34895229492e-05
q-letum;4;0.00657701448438
q-morior;4;-0.00854079783902
q-mors;5;-0.00834326046987
q-letum;5;0.00318282077251
q-morior;5;-0.000874281184161
q-mors;6;0.000556313068101
q-letum;6;0.0108978632284
q-morior;6;-0.000283088623806
q-mors;7;0.00626791681772
q-letum;7;-0.00410061675709
q-morior;7;0.0102839328482
q-mors;8;-0.000808474054738
q-letum;8;-0.00188942290951
q-morior;8;-0.00517234820209
q-mors;9;-0.00700841643665
q-letum;9;0.0112876629536
q-morior;9;0.00962835362573
q-mors;10;-0.00264872741506
q-letum;10;-0.00878287344514
q-morior;10;0.0010257687483
q-mors;11;0.000147116451226
q-letum;11;0.00985162300993
q-morior;11;-0.00286839119418
q-mors;12;-0.0102212368098
q-letum;12;0.00652738775385
q-morior;12;-0.00545449644326
q-mors;13;-0.00234698283295
q-letum;13;0.00841459453616
q-morior;13;-0.00494207484343
q-mors;14;0.00606195403957
q-letum;14;0.00386823827604
q-morior;14;-0.0014622977289
q-mors;15;0.00158141608411
q-letum;15;-0.00199243457843
q-morior;15;-0.00465376187675
q-mors;16;-0.00444024036543
q-letum;16;0.00214647344592
q-morior;16;0.00407330923344
q-mors;17;-0.000574199355982
q-letum;17;-0.0184690145599
q-morior;17;-0.00099607352376
q-mors;18;0.00193415319496
q-letum;18;0.0166433001566
q-morior;18;0.00119010481611
q-mors;19;0.00565803070296
q-letum;19;8.7808652687e-05
q-morior;19;-0.000759813458994
q-mors;20;0.00430207987415
q-letum;20;0.00211154557005
q-morior;20;0.00147035794259
q-mors;21;0.000428663485504
q-letum;21;-0.00516049723871
q-morior;21;0.00358146598745
q-mors;22;-0.00125863727719
q-letum;22;0.00632172445334
q-morior;22;0.00252018436156
q-mors;23;-0.00238235502128
q-letum;23;0.00646742920063
q-morior;23;0.00273840218721
q-mors;24;-0.00302152673838
q-letum;24;0.00940396162928
q-morior;24;-0.00499991659889
q-mors;25;0.00322204383654
q-letum;25;-0.00164624197197
q-morior;25;0.00635706908025
q-mors;26;-8.65171762716e-05
q-letum;26;-0.000274830786407
q-morior;26;-0.00275712276819
q-mors;27;0.00453433889773
q-letum;27;-0.00958404373842
q-morior;27;-0.00495600652228
q-mors;28;0.00179207362959
q-letum;28;0.00753065961486
q-morior;28;-0.00135690196613
